医療機関名_x,都道府県コード_x,構想区域名称_x,休日に受診した患者延べ数,休日に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,夜間・時間外に受診した患者延べ数,夜間・時間外に受診した患者延べ数_うち診察後直ちに入院となった患者延べ数,救急車の受入件数,施設全体_医師,施設全体_医師_常勤,院内総病床数,院内総一般病床数,院内総新規入棟患者数（年間）,一般病床_許可病床,療養病床_許可病床,在棟患者延べ数（年間）,新規入棟患者数（年間）,退棟患者数（年間）,急性期病床数の施設全体に占める割合,うち、院内の他病棟からの転棟（年間）,うち、家庭からの入院（年間）,うち、他の病院、診療所からの転院（年間）,うち、介護施設、福祉施設からの入院（年間）,うち、介護医療院からの入院（年間）,うち、院内の出生（年間）,うち、その他（年間）,手術総数,全身麻酔の手術総数,放射線治療,化学療法,構想区域人口,病床利用率,平均存棟日数,新規入棟患者数のうち院内の他病棟からの転棟の割合,新規入棟患者数のうち家庭からの入院の割合,新規入棟患者数のうち他の病院、診療所からの転院の割合,新規入棟患者数のうち介護施設、福祉施設からの入院の割合,新規入棟患者数のうち介護医療院からの入院の割合,新規入棟患者数のうち院内の出生（年間）,新規入棟患者数のうちその他の割合,構想区域人口あたりの救急車受入件数,構想区域全体の総救急車受入件数,個別医療機関の救急車受入数の構想区域全体に占める割合,構想区域内の救急車受入数の最大割合,施設全体の医師のうち常勤医師の割合,構想区域全体の常勤医師数,個別医療機関の常勤医師数の構想区域全体に占める割合,構想区域全体の医師数,個別医療機関の医師数の構想区域全体に占める割合,構想区域人口あたりの常勤医師数,構想区域人口あたりの医師数,病床数あたりの常勤医師数,病床数あたりの医師数,救急受入件数のカテゴリー,うち、他病棟、他院から転棟（年間）,うち、施設からの入院（年間）,新規入棟患者数のうち他病棟、他院から転棟の割合,新規入棟患者数のうち施設からの入院の割合,新規入棟患者のうち休日に受診診察後直ちに入院となった患者の割合,新規入棟患者のうち夜間・時間外に受診診察後直ちに入院となった患者の割合,構想区域人口のカテゴリー
あさひ総合病院,16,新川,818,117,1255,291,409,17.3,12,109,109,2752,109,0,33991,2752,2739,100.0,335,2182,45,190,0,0,0,1079.0,249.0,0.0,85.0,115093,85.43672238280759,12.380622837370241,12.17296511627907,79.28779069767442,1.6351744186046513,6.90406976744186,0.0,0.0,0.0,3.5536479195085713,4036,10.133795837462834,58.84539147670962,69.36416184971098,144,8.333333333333332,155.4,11.132561132561133,1.2511621036900593,1.3502124368988557,0.11009174311926606,0.15871559633027524,251-500,380,190,13.80813953488372,6.90406976744186,4.251453488372093,10.574127906976743,0-20万
あづま脳神経外科病院,7,県北,587,171,733,271,1344,11.4,7,168,108,2019,37,0,11619,1142,1130,22.023809523809522,2,926,14,200,0,0,0,0.0,0.0,0.0,0.0,465894,86.03480192521289,10.227992957746478,0.17513134851138354,81.08581436077058,1.2259194395796849,17.513134851138354,0.0,0.0,0.0,2.884776365439349,28435,4.726569368735713,11.872692104800423,61.40350877192983,1095,0.6392694063926941,1374.7,0.8292718411289736,2.350320029878041,2.9506711827153818,0.041666666666666664,0.06785714285714287,1251-1500,16,200,1.4010507880910683,17.513134851138354,8.469539375928678,13.42248637939574,40-60万
あねとす病院,11,北部,55,50,50,50,55,10.2,7,187,33,1079,33,0,12676,592,368,17.647058823529413,0,99,229,264,0,0,0,0.0,0.0,0.0,10.0,501367,105.2386882523869,26.408333333333335,0.0,16.722972972972975,38.682432432432435,44.5945945945946,0.0,0.0,0.0,0.10970007998133105,37645,0.1461017399389029,21.46898658520388,68.62745098039215,658,1.0638297872340425,846.1,1.2055312610802504,1.3124118659584696,1.6875861394946219,0.0374331550802139,0.05454545454545454,0-250,229,264,38.682432432432435,44.5945945945946,4.633920296570899,4.633920296570899,40-60万
あま市民病院,23,海部,2377,168,2379,655,2130,20.0,16,180,180,4294,90,0,16622,3157,2241,50.0,242,2622,99,185,0,0,9,716.0,367.0,0.0,60.0,325234,50.59969558599696,6.158577250833642,7.665505226480835,83.05353183401964,3.1358885017421603,5.8599936648717135,0.0,0.0,0.2850807728856509,6.549130779684781,13080,16.28440366972477,61.23088685015291,80.0,253,6.324110671936759,275.3,7.26480203414457,0.7779014494179575,0.8464674665010424,0.08888888888888889,0.1111111111111111,2001+,341,185,10.801393728222997,5.8599936648717135,3.912435957149511,15.253842571029343,20-40万
あんしん病院,28,神戸,0,0,20,20,0,17.0,9,60,60,2635,60,0,13526,2635,2618,100.0,0,2635,0,0,0,0,0,2507.0,2500.0,0.0,0.0,1525152,61.762557077625566,5.149819150961355,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,54472,0.0,9.988618005580848,52.94117647058824,1473,0.6109979633401221,1749.8,0.9715396045262316,0.9658053754642161,1.147295482679759,0.15,0.2833333333333333,0-250,0,0,0.0,0.0,0.0,0.7590132827324478,100-200万
いすみ医療センター,12,山武長生夷隅,1039,55,619,73,507,14.0,9,144,96,968,96,0,4091,907,945,66.66666666666666,42,750,115,0,0,0,0,237.0,55.0,0.0,60.0,410235,11.675228310502282,4.41792656587473,4.630650496141125,82.69018743109152,12.679162072767364,0.0,0.0,0.0,0.0,1.2358769973307981,11959,4.23948490676478,25.060623797976415,64.28571428571429,197,4.568527918781726,297.1,4.712218108381016,0.48021256109303206,0.7242190451814204,0.0625,0.09722222222222222,501-750,157,0,17.30981256890849,0.0,5.681818181818182,7.541322314049586,40-60万
いずみの病院,39,中央,277,55,378,55,451,25.0,25,286,238,2143,130,0,36757,1823,1813,45.45454545454545,103,1420,151,147,0,0,2,254.0,109.0,0.0,70.0,516816,77.46469968387777,20.218371837183717,5.6500274273176085,77.89358200767965,8.283049917718047,8.063631376851344,0.0,0.0,0.10970927043335163,0.8726510015169808,29545,1.5264850228465054,21.976645794550688,100.0,1168,2.1404109589041096,1278.1,1.9560284797746657,2.2599919507136,2.473027150862202,0.08741258741258741,0.08741258741258741,251-500,254,147,13.933077345035654,8.063631376851344,2.5664955669622023,2.5664955669622023,40-60万
いちき串木野市医師会立脳神経外科センター,46,鹿児島,0,0,0,0,0,4.0,3,64,39,517,39,0,9003,423,413,60.9375,8,332,55,27,0,0,1,60.0,55.0,0.0,20.0,668916,63.24552160168598,21.538277511961724,1.8912529550827424,78.4869976359338,13.002364066193852,6.382978723404255,0.0,0.0,0.2364066193853428,0.0,31452,0.0,15.668319979651532,75.0,1516,0.1978891820580475,1749.6999999999998,0.22861061896325086,2.266353323885211,2.6157245453838747,0.046875,0.0625,0-250,63,27,14.893617021276595,6.382978723404255,0.0,0.0,60-80万
いちはら病院,8,つくば,866,50,693,86,350,23.0,23,199,79,2519,79,0,25763,1648,1630,39.69849246231156,54,1465,37,92,0,0,0,1226.0,1137.0,0.0,5.0,352362,89.34628056181724,15.718730933496035,3.2766990291262137,88.89563106796116,2.2451456310679614,5.582524271844661,0.0,0.0,0.0,0.9932966664963873,14707,2.379819133745835,29.020194465220644,100.0,995,2.3115577889447234,1094.2,2.101992323158472,2.8238005233254437,3.105329178515277,0.11557788944723618,0.11557788944723618,251-500,91,92,5.521844660194175,5.582524271844661,1.9849146486701073,3.4140531957125844,20-40万
いづろ今村病院,46,鹿児島,235,59,97,55,85,33.8,23,115,115,2679,42,0,14535,1314,1308,36.52173913043478,9,1146,119,40,0,0,0,425.0,0.0,0.0,229.0,668916,94.81409001956946,11.08695652173913,0.684931506849315,87.21461187214612,9.056316590563165,3.0441400304414,0.0,0.0,0.0,0.1270712615634848,31452,0.2702530840646064,15.668319979651532,68.04733727810651,1516,1.517150395778364,1749.6999999999998,1.9317597302394696,2.266353323885211,2.6157245453838747,0.2,0.29391304347826086,0-250,128,40,9.74124809741248,3.0441400304414,2.2023142963792464,2.053004852556924,60-80万
いの町立国民健康保険仁淀病院,39,中央,478,60,550,96,276,9.2,6,100,60,800,60,0,15544,756,741,60.0,0,581,91,84,0,0,0,142.0,75.0,0.0,45.0,516816,70.9771689497717,20.76686706746827,0.0,76.85185185185185,12.037037037037036,11.11111111111111,0.0,0.0,0.0,0.5340391938330082,29545,0.9341682179725842,21.976645794550688,65.21739130434783,1168,0.5136986301369862,1278.1,0.7198184805570769,2.2599919507136,2.473027150862202,0.06,0.092,251-500,91,84,12.037037037037036,11.11111111111111,7.5,12.0,40-60万
いまきいれ総合病院,46,鹿児島,1232,364,2694,954,4164,109.0,107,352,352,9807,321,0,106711,8612,9288,91.19318181818183,1288,6431,605,183,16,5,84,2706.0,1689.0,291.0,1024.0,668916,91.07754022105577,11.923016759776536,14.955875522526707,74.67487227124941,7.025081281932187,2.124941941477009,0.18578727357176034,0.05805852299117511,0.9753831862517418,6.224996860592361,31452,13.239221671117892,15.668319979651532,98.1651376146789,1516,7.058047493403693,1749.6999999999998,6.229639366748587,2.266353323885211,2.6157245453838747,0.3039772727272727,0.3096590909090909,2001+,1893,199,21.980956804458895,2.3107292150487693,3.7116345467523195,9.727745487916795,60-80万
いわき市医療センター,7,いわき,3830,1664,10533,1546,3404,142.4,136,679,679,15835,397,0,103931,8873,9497,58.46833578792342,709,7259,165,47,0,686,7,0.0,0.0,0.0,0.0,332931,71.7235430109382,11.315296679368535,7.990533077876705,81.809985348811,1.8595739885044518,0.5296968330891468,0.0,7.731319734024569,0.07889101769412826,10.22434077932064,10422,32.661677221262714,32.661677221262714,95.50561797752809,263,51.71102661596958,320.6,44.41671865252651,0.7899534738429285,0.9629622954906573,0.20029455081001474,0.209720176730486,2001+,874,47,9.850107066381156,0.5296968330891468,10.50836754025892,9.76318282286075,20-40万
うえの病院,40,粕屋,199,25,70,30,60,10.5,7,36,36,886,36,0,11388,886,887,100.0,0,673,123,90,0,0,0,308.0,82.0,0.0,0.0,292856,86.66666666666666,12.846023688663282,0.0,75.95936794582393,13.882618510158013,10.15801354401806,0.0,0.0,0.0,0.20487884830770073,8487,0.7069635913750442,43.266171792152704,66.66666666666666,209,3.349282296650718,282.5,3.7168141592920354,0.7136613216051575,0.9646379107820908,0.19444444444444445,0.2916666666666667,0-250,123,90,13.882618510158013,10.15801354401806,2.8216704288939054,3.3860045146726865,20-40万
おおもと病院,33,県南東部,65,35,55,55,30,8.0,6,51,51,1199,51,0,7297,1199,1189,100.0,0,1190,7,2,0,0,0,347.0,219.0,0.0,352.0,916760,39.19957023905452,6.111390284757119,0.0,99.24937447873228,0.5838198498748958,0.16680567139282734,0.0,0.0,0.0,0.03272394083511497,37517,0.0799637497667724,11.943918756830236,75.0,1424,0.42134831460674155,1986.8,0.40265753976243207,1.553296391640124,2.167197521706881,0.11764705882352941,0.1568627450980392,0-250,7,2,0.5838198498748958,0.16680567139282734,2.9190992493744785,4.587155963302752,80-100万
おもろまちメディカルセンター,47,南部,108,55,100,60,161,23.7,20,154,94,1766,94,0,31501,1766,1773,61.038961038961034,44,1547,69,106,0,0,0,589.0,138.0,0.0,161.0,740743,91.81288254153309,17.80220401243289,2.491506228765572,87.59909399773498,3.9071347678369195,6.0022650056625135,0.0,0.0,0.0,0.2173493370845219,78583,0.20487891783210108,9.276815596248552,84.38818565400844,2196,0.9107468123861567,2551.8,0.9287561721138019,2.964590957997578,3.4449194929955467,0.12987012987012986,0.1538961038961039,0-250,113,106,6.398640996602492,6.0022650056625135,3.1143827859569653,3.397508493771234,60-80万
かづの厚生病院,5,大館・鹿角,1128,177,1961,776,1045,27.3,18,197,197,3321,137,0,28626,2393,2396,69.54314720812182,88,2078,34,191,0,0,2,630.0,330.0,0.0,199.0,103105,57.246275372462755,11.954896638129046,3.6773923944839115,86.83660676974509,1.420810697868784,7.981613038027581,0.0,0.0,0.08357709987463435,10.135298967072401,3895,26.82926829268293,62.05391527599487,65.93406593406593,101,17.82178217821782,117.2,23.293515358361773,0.9795839193055622,1.1367053004219,0.09137055837563451,0.1385786802030457,1001-1250,122,191,5.098203092352695,7.981613038027581,5.329719963866306,23.36645588678109,0-20万
かのや東病院,46,肝属,15,0,10,10,55,3.0,2,20,20,215,20,0,3323,215,0,100.0,0,117,42,47,9,0,0,60.0,5.0,0.0,5.0,148804,45.52054794520548,30.911627906976744,0.0,54.418604651162795,19.53488372093023,21.86046511627907,4.186046511627907,0.0,0.0,0.3696137200612887,6203,0.8866677414154441,36.96598420119297,66.66666666666666,86,2.3255813953488373,116.2,2.5817555938037864,0.5779414531867423,0.780892986747668,0.1,0.15,0-250,42,56,19.53488372093023,26.046511627906977,0.0,4.651162790697675,0-20万
かば記念病院,22,西部,69,35,94,45,10,6.6,4,44,44,952,44,0,4596,952,945,100.0,0,769,0,0,0,183,0,227.0,0.0,0.0,0.0,771746,28.61768368617684,4.845545598313126,0.0,80.77731092436974,0.0,0.0,0.0,19.222689075630253,0.0,0.01295763113770593,103724,0.009640970267247697,8.977671512861054,60.60606060606061,3047,0.13127666557269443,3531.9,0.18686825787819586,3.9481902076589965,4.576505741526358,0.09090909090909091,0.15,0-250,0,0,0.0,0.0,3.6764705882352944,4.726890756302521,60-80万
かみいち総合病院,16,富山,1450,96,766,117,552,31.9,25,148,148,2188,51,0,12800,970,1080,34.45945945945946,18,694,120,54,0,0,84,304.0,170.0,0.0,101.0,493562,68.76175127585282,12.487804878048781,1.8556701030927836,71.54639175257732,12.371134020618557,5.567010309278351,0.0,0.0,8.65979381443299,1.1184005251619857,21547,2.5618415556690026,24.02654661901889,78.36990595611285,899,2.7808676307007785,988.4,3.2274382840955083,1.8214530292040312,2.002585288170483,0.16891891891891891,0.21554054054054053,501-750,138,54,14.22680412371134,5.567010309278351,4.387568555758683,5.347349177330896,40-60万
かりゆし病院,47,八重山,30,0,20,10,60,6.9,6,110,22,890,22,0,7274,578,579,20.0,16,227,237,98,0,0,0,79.0,0.0,0.0,35.0,53255,90.58530510585304,12.57389801210026,2.768166089965398,39.273356401384085,41.003460207612456,16.955017301038062,0.0,0.0,0.0,1.1266547741996056,2383,2.517834662190516,88.54385228703315,86.95652173913044,65,9.230769230769232,69.7,9.899569583931134,1.220542672049573,1.308797296028542,0.05454545454545454,0.06272727272727273,0-250,253,98,43.77162629757785,16.955017301038062,0.0,1.1235955056179776,0-20万
かわぐち心臓呼吸器病院,11,南部,819,243,1554,716,2243,29.4,27,108,108,5159,97,0,29446,4056,4056,89.81481481481481,1440,2389,139,88,0,0,0,968.0,75.0,0.0,0.0,740743,83.16904392035023,7.259861932938856,35.50295857988166,58.900394477317555,3.4270216962524658,2.1696252465483234,0.0,0.0,0.0,3.0280407644756684,78583,2.8543069111639925,9.276815596248552,91.83673469387756,2196,1.2295081967213115,2551.8,1.1521279097107924,2.964590957997578,3.4449194929955467,0.25,0.2722222222222222,2001+,1579,88,38.929980276134124,2.1696252465483234,4.710215157976352,13.878658654778059,60-80万
がくさい病院,26,京都・乙訓,0,0,45,0,0,12.4,11,90,90,1125,44,0,13289,896,899,48.888888888888886,1,892,1,2,0,0,0,882.0,871.0,0.0,0.0,1617143,82.74595267745953,14.806685236768802,0.11160714285714285,99.55357142857143,0.11160714285714285,0.2232142857142857,0.0,0.0,0.0,0.0,72121,0.0,9.187337945951942,88.70967741935483,2802,0.39257673090649536,3703.7999999999997,0.33479129542631897,1.7326853593034135,2.29033548671948,0.12222222222222222,0.13777777777777778,0-250,2,2,0.2232142857142857,0.2232142857142857,0.0,0.0,100-200万
きたじま田岡病院,36,東部,969,103,598,97,805,33.9,24,198,146,2793,94,0,30074,2032,635,47.474747474747474,362,1301,220,149,0,0,0,523.0,179.0,0.0,105.0,1155470,87.6537452637715,22.552680914885638,17.81496062992126,64.0255905511811,10.826771653543307,7.332677165354331,0.0,0.0,0.0,0.6966861969588133,101383,0.7940187210873618,4.6812581991063595,70.79646017699115,3546,0.676818950930626,4366.6,0.7763477304997022,3.068881061386276,3.779068257938328,0.12121212121212122,0.1712121212121212,751-1000,582,149,28.641732283464567,7.332677165354331,3.6877909058360183,3.47296813462227,100-200万
きぬ医師会病院,8,つくば,971,181,457,122,427,17.0,16,124,124,1677,124,0,27533,1677,1696,100.0,0,1541,39,97,0,0,0,490.0,247.0,0.0,70.0,352362,60.83296509058771,16.325526237770532,0.0,91.89028026237328,2.3255813953488373,5.784138342277878,0.0,0.0,0.0,1.2118219331255924,14707,2.9033793431699193,29.020194465220644,94.11764705882352,995,1.6080402010050252,1094.2,1.553646499725827,2.8238005233254437,3.105329178515277,0.12903225806451613,0.13709677419354838,251-500,39,97,2.3255813953488373,5.784138342277878,10.793082886106141,7.2748956469886705,20-40万
きら病院,38,今治,55,0,99,0,0,2.1,2,30,30,647,30,0,3307,647,624,100.0,0,366,0,0,0,281,0,50.0,0.0,0.0,0.0,158181,30.200913242009133,5.2037765538945715,0.0,56.568778979907265,0.0,0.0,0.0,43.431221020092735,0.0,0.0,6089,0.0,23.6163573657415,95.23809523809523,158,1.2658227848101267,182.4,1.151315789473684,0.9988557412078569,1.1531094126348929,0.06666666666666667,0.07,0-250,0,0,0.0,0.0,0.0,0.0,0-20万
くしもと町立病院,30,新宮,1544,230,639,163,1043,12.0,12,114,90,1523,90,0,24602,1384,1400,78.94736842105263,38,1209,53,48,0,36,0,401.0,65.0,0.0,85.0,61942,74.89193302891933,17.673850574712645,2.745664739884393,87.35549132947978,3.8294797687861273,3.4682080924855487,0.0,2.601156069364162,0.0,16.838332633754156,3506,29.74900171135197,55.561893896177985,100.0,66,18.181818181818183,69.7,17.21664275466284,1.0655128991637337,1.1252461980562463,0.10526315789473684,0.10526315789473684,1001-1250,91,48,6.575144508670521,3.4682080924855487,15.10177281680893,10.702560735390676,0-20万
くぼかわ病院,39,高幡,1287,91,554,60,478,15.0,15,206,172,937,50,0,13870,0,0,24.271844660194176,0,0,0,0,0,0,0,287.0,221.0,0.0,30.0,50797,76.0,,,,,,,,,9.410004527826446,1214,39.373970345963755,55.02471169686986,100.0,36,41.66666666666667,45.4,33.03964757709251,0.7087032698781424,0.8937535681241018,0.07281553398058252,0.07281553398058252,251-500,0,0,,,9.711846318036287,6.403415154749199,0-20万
くぼのやウィメンズホスピタル,12,東葛北部,176,10,175,0,60,12.5,9,40,40,3480,40,0,19800,3480,3479,100.0,0,2082,0,0,0,1398,0,1040.0,183.0,0.0,0.0,1407697,135.6164383561644,5.690472769076017,0.0,59.827586206896555,0.0,0.0,0.0,40.17241379310345,0.0,0.042622808743642986,51163,0.11727224752262376,18.822195727381118,72.0,1103,0.8159564823209429,1571.1,0.795620902552352,0.7835493007373036,1.1160782469522914,0.225,0.3125,0-250,0,0,0.0,0.0,0.28735632183908044,0.0,100-200万
くまもと乳腺・胃腸外科病院,43,熊本・上益城,25,15,60,55,5,9.8,9,41,41,2419,41,0,8299,2419,2404,100.0,0,2412,4,2,0,0,1,495.0,350.0,0.0,1014.0,820860,55.45606414968259,3.4414264980302716,0.0,99.71062422488632,0.1653575857792476,0.0826787928896238,0.0,0.0,0.0413393964448119,0.006091172672562923,20505,0.0243842965130456,22.799317239697633,91.83673469387755,696,1.293103448275862,836.2,1.171968428605597,0.8478912360207588,1.0186877177594231,0.21951219512195122,0.23902439024390246,0-250,4,2,0.1653575857792476,0.0826787928896238,0.6200909466721786,2.273666804464655,80-100万
くまもと成城病院,43,熊本・上益城,5,0,45,20,10,9.0,7,156,91,416,35,0,8683,256,253,22.435897435897438,6,76,135,39,0,0,0,10.0,0.0,0.0,0.0,820860,67.96868884540118,34.117878192534384,2.34375,29.6875,52.734375,15.234375,0.0,0.0,0.0,0.012182345345125845,20505,0.0487685930260912,22.799317239697633,77.77777777777779,696,1.0057471264367817,836.2,1.0762975364745275,0.8478912360207588,1.0186877177594231,0.04487179487179487,0.057692307692307696,0-250,141,39,55.078125,15.234375,0.0,4.807692307692308,80-100万
