TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
医療法人社団健和会函館おおむら整形外科病院,279,169,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
函館渡辺病院,65,5,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
函館渡辺病院,475,343,0,65,,,,,,,,,,,,,,,,,,,,,,,,,,
秋山記念病院,397,277,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
道南勤医協函館稜北病院,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
道南勤医協函館稜北病院,20,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人亀田病院,40,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人亀田病院,15,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人亀田病院,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人仁生会西堀病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人仁生会西堀病院,20,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人仁生会西堀病院,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人敬仁会函館おしま病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人敬仁会函館おしま病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人高橋病院,20,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人高橋病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,195,50,60,306,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,218,99,70,280,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,96,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,676,20,30,154,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,55,5,50,163,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,449,370,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,287,5,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,
独立行政法人国立病院機構函館病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人聖仁会森病院,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人聖仁会森病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人聖仁会森病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
特定医療法人富田病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
特定医療法人富田病院,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館南茅部病院,55,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立函館南茅部病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,1142,1116,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,494,338,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,345,190,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,156,103,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,585,161,5,236,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,547,154,5,92,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,398,207,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,656,249,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,240,15,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,348,180,5,166,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,137,55,15,270,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
函館中央病院,55,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
函館赤十字病院,233,65,0,181,,,,,,,,,,,,,,,,,,,,,,,,,,
函館赤十字病院,77,60,0,289,,,,,,,,,,,,,,,,,,,,,,,,,,
函館赤十字病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,691,629,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,1021,193,50,112,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,792,411,87,237,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,524,0,55,224,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,630,518,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,400,98,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,723,349,40,60,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,644,503,60,324,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,580,418,60,282,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,60,5,142,470,,,,,,,,,,,,,,,,,,,,,,,,,,
函館五稜郭病院,345,0,30,45,,,,,,,,,,,,,,,,,,,,,,,,,,
函館市医師会病院,425,277,5,197,,,,,,,,,,,,,,,,,,,,,,,,,,
函館市医師会病院,30,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
函館市医師会病院,40,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
函館市医師会病院,272,10,5,60,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会函館新都市病院,55,20,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会函館新都市病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会函館新都市病院,222,144,5,40,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会函館新都市病院,283,215,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団函館脳神経外科病院,192,102,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団函館脳神経外科病院,50,5,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団函館脳神経外科病院,249,167,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団函館脳神経外科病院,125,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
木古内町国民健康保険病院,60,50,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
木古内町国民健康保険病院,10,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団立青会なるかわ病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ななえ新病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ななえ新病院,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ななえ新病院,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ななえ新病院,15,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会新都市砂原病院,50,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人雄心会新都市砂原病院,15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
森町国民健康保険病院,15,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団恵愛会佐々木病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道立江差病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道立江差病院,103,66,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
北海道立江差病院,60,60,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
厚沢部町国民健康保険病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
厚沢部町国民健康保険病院,20,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
乙部町国民健康保険病院,15,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
乙部町国民健康保険病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奥尻町国民健康保険病院,55,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
奥尻町国民健康保険病院,15,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲町熊石国民健康保険病院,50,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,52,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,255,5,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,504,341,0,224,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
八雲総合病院,203,55,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
長万部町立病院,20,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
長万部町立病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今金町国保病院,15,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人財団明理会道南ロイヤル病院,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人財団明理会道南ロイヤル病院,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人財団明理会道南ロイヤル病院,5,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
せたな町立国保病院,40,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人資生会創成東病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人資生会創成東病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団明日佳 札幌明日佳病院,0,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団明日佳 札幌明日佳病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団明日佳 札幌明日佳病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団明日佳 札幌明日佳病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団明日佳 札幌明日佳病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団清和会 南札幌病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団清和会 南札幌病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人桑園中央病院,251,50,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人桑園中央病院,60,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌中央病院,35,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌中央病院,55,20,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌中央病院,40,15,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌中央病院,19,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
一般財団法人 札幌同交会病院,10,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
一般財団法人 札幌同交会病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
一般財団法人 札幌同交会病院,55,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌渓仁会リハビリテーション病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌渓仁会リハビリテーション病院,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌渓仁会リハビリテーション病院,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団いとう整形外科病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団いとう整形外科病院,390,346,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
慈啓会病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
慈啓会病院,72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
慈啓会病院,0,0,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,773,513,45,97,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,659,245,15,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,792,187,65,403,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,944,672,30,175,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,70,10,35,55,,,,,,,,,,,,,,,,,,,,,,,,,,
ＮＴＴ東日本札幌病院,361,349,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団心和会 心和病院,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人札幌円山整形外科病院,601,586,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人札幌円山整形外科病院,889,863,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人札幌円山整形外科病院,68,62,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人北海道循環器病院,223,35,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人北海道循環器病院,527,51,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人北海道循環器病院,290,185,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団恵和会 宮の森病院,10,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団恵和会 宮の森病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団恵和会 宮の森病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団恵和会 宮の森病院,30,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人讃生会 宮の森記念病院,113,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人讃生会 宮の森記念病院,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人讃生会 宮の森記念病院,35,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌循環器病院,113,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌循環器病院,111,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人大空 札幌ススキノ病院,55,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,30,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,30,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,5,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,20,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,10,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,5,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,15,0,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,25,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌西円山病院,40,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団銀杏会 川西内科胃腸科病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団銀杏会 川西内科胃腸科病院,135,0,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,245,165,60,136,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,293,15,60,542,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,55,25,156,267,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,379,50,15,51,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,16,0,93,16,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,219,179,82,67,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,57,36,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,493,466,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,65,60,35,175,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,5,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,383,275,55,164,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,324,111,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,983,578,20,189,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,661,552,72,962,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,571,496,55,235,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,461,350,60,274,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,160,40,15,93,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,429,362,44,69,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,505,25,55,203,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,604,496,10,231,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,720,492,65,194,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,184,60,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,40,5,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌医科大学附属病院,299,264,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,50,45,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,35,0,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,25,5,299,77,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,25,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,60,45,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,157,60,50,30,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,35,10,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,60,15,65,55,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,67,15,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,50,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,
社会医療法人 医仁会 中村記念病院,741,642,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団札幌外科記念病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団札幌外科記念病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団 土田病院,50,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団 土田病院,159,60,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団 土田病院,55,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人萬田記念病院,66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌南三条病院,386,371,5,653,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌南三条病院,10,10,20,1154,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人社団正心会 岡本病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,381,269,50,325,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,25,5,10,74,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,1138,306,0,82,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,692,497,15,202,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,45,5,0,75,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,206,60,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,159,127,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＲ札幌病院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,334,238,30,35,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,1105,269,5,20,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,38,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,635,624,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,228,66,10,40,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,453,52,15,50,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,103,20,40,417,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,107,0,123,213,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,216,110,15,45,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,306,5,48,40,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,297,66,20,45,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,422,255,30,60,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,342,155,45,126,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,66,56,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,66,55,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,5,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,60,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
市立札幌病院,337,55,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人菊郷会 愛育病院,84,5,0,652,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人菊郷会 愛育病院,370,247,0,382,,,,,,,,,,,,,,,,,,,,,,,,,,
医療法人菊郷会 愛育病院,529,5,0,412,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,371,55,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,71,40,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,120,20,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,357,275,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
時計台記念病院,216,120,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌南一条病院,40,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌南一条病院,30,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
札幌南一条病院,45,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,987,968,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,554,147,60,75,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,263,66,60,379,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,256,60,60,262,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,342,73,60,153,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,360,15,25,20,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,0,0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,206,0,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,366,216,30,471,,,,,,,,,,,,,,,,,,,,,,,,,,
ＪＡ北海道厚生連札幌厚生病院,692,172,50,225,,,,,,,,,,,,,,,,,,,,,,,,,,
